S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
123.,Cura cet Tablets (Cetirizine Hydrochloride),CHT23320,,Sep-25,"M/s. Cureza Healthcare pvt. Ltd. A.B.Road Girwai, 474001","Almost all the tablets received for analysis show Grey coloured spots all over the surface of the tablet, when observed in",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Oct-23
,,,,,,normal day light with unaided eyes.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,,,,,,
124.,Enro floxacin Injection La (Welflox La),VT240352A,,Feb-26,"M/s. Integrated Laboratories Pvt Ltd. Nahan Road, Vill. Moginand, Kala Amb, Distt. Sirmour Himachal Pradesh 173030",1. The Content of Enrofloxacin in the sample is less (i.e. 45.64% of the labelled amount),,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Mar-24
125.,Glav it Syrup 200ml,GLV-233,,Sep-25,"M/s. Glacier Pharmaceutical Pvt Ltd. G-5, MIDC, Industrial area Amaravati-444605",The content of Thiamine Hydrochloride(i.e. 63.8% of the labelled amount) and the content of Cyanocobalamin (i.e 13.34% of the labelled amount) in the sample are less than the permissible limit.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Apr-24
126.,Glav it Syrup100ml,GLV-230,,Aug-25,"M/s. Glacier Pharmaceutical Pvt Ltd. G-5, MIDC, Industrial area Amaravati-444605",The content of Thiamine Hydrochloride(i.e. 74.7% of the labelled amount) and the content of Cyanocobalamin (i.e 11.92% of the labelled amount) in the sample are less than the permissible limit.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Mar-24
127.,Elze fen-P (Aceclofenac & Paracetamol Tablets),PC24021,,Feb-2026,"M/s Prochem Pharmaceuticals Pvt., Ltd., 140-141, Makkanpur, Bhagwanpur, Roorkee, Distt.- Haridwar,(Uttarakhand)-247661",Assay of Aceclofenac,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Central Drugs Laboratory, 3, Kyd Street, Kolkata- 700016",,,,,Mar-2024
128.,Onv in-4 MD Tablets (Ondansetron Orally Disintegrating Tablets IP 4 mg),RV24012,,Apr--2026,"M/s Rivpra Formulation Pvt., Ltd., Plot No.8, Sector-6A, IIE, SIDCUL, Haridwar-249403",Test for Related Substances,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Central Drugs Laboratory, 3, Kyd Street, Kolkata- 700016",,,,,May-2024
129.,EBD ORS(Oral Rehydration Salts IP),825220,,01/2027,"Mfg. by- M/s Syndicate Pharma, 185/B-1, 187/A & 188, Sector F, Sanwer Road, Industrial Area, Indore(M.P.)-452015, Mkt. by M/s Elder Bio Drugs Pvt. Ltd., Plot No. 15/1, Pipliya Kumar, 1B-1st Floor, 37-A, Mangal Compound, Dewas Naka, Lasudia Mori, Pincode- 452010",Uniformity of weight,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drug Testing Laboratory, Jharkhand",,,,,02/2025
130.,ORS (Oral Rehydration Salts IP),P0831,,03/2026,"M/s Quest Laboratories Limited, Plot No. 45, Sector-III, Pithampur, Dist.- Dhar-454775(M.P.)",Uniformity of weight,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drug Testing Laboratory, Jharkhand",,,,,04/2024
1.,Ranitidine Injection IP- 2ML,HLI352C,,Feb-26,"M/s. Himalaya Meditek Pvt Ltd, Plot No.35&36 Pharmacity, Selaqui Industrial Area, Dehradun - 248197",Sample does not conform to requirement for Assay,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
2.,Gentamicin Injection IP- 2ML,24BUH85,,Jul-26,"M/s. SVP Life Sciences, C/10-1, Sara Industrial Estate, Selequi, Dehradun.",Sample does not conform to the requirement for pH,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
3.,Betamethasone Valerate Ointment IP 0.1% w/w,B73,,Jul-26,"M/s.Syndicate Pharma, 185/B, 185/B-1, 187/A & 188 Sector - F, Sanwer Road, Indore-452015.",Sample does not conform to IP specification for Betamethasone Valerate Ointment with respect to the content of Betamethasone in Betamethasone Valerate,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Chennai-06",,,,,
4.,Calcium and Vitamin D3 Tablets (Elprocal),NBT-230543,,Dec-25,"M/s.Soft Touch Pharmaceuticals India Ltd, Plot No.8, Industrial Area, Waknaghat, Distt. Solan (H.P)-173234",Sample does not conform to IP specification for Calcium and Vitamin D3 Tablets with respect to the identification and content of Vitamin D3,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-24,"Drugs Testing Laboratory, Madurai-19",,,,,
5.,Gentamicin Injection I.P- 2ml,HLI624F,,May-25,"M/s.Himalaya Meditek Pvt Ltd, Plot No.35&36, Pharmacity, Selaqui Industrial Area, Dehradun - 248 197",Sample does not conform to the requirement for pH.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jun-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
6.,Atorvastatin Tablets IP 10mg,CT240237A,,Jun-25,"M/s.Candour Pharmaceuticals, Vill. OGLI,",Sample does not conform to IP specification for,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"Drugs Testing Laboratory, Chennai-06",,,,,
,,,,,"Suketi Road, Kala Amb, Distt. Sirmour (H.P), 173030",Atorvastatin Tablets with respect to Dissolution,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
7.,Glibenclamide Tablets IP 5mg,NHD24411A,,Jul-25,"M/s.Nest Healthcare Private limited, Plot No.300, G.I.D.C, Odhav, Ahmedabad- 382415(GUJ.), India.",Sample does not conform to IP specificaion for Glibenclamide Tablets with respec to Dissolution,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"Drugs Testing Laboratory, Chennai-06",,,,,
8.,Amoxycillin and Potassium Clavulanate Oral Suspension RIGHTCLAV 228.5 Dry Syrup,ACAG24001E,,Sep-25,"M/s.J.M.Laboratories, Village Bhanat, PO-Ghatti, Subathu Road, Solan (H.P)-173211",Sample does not conform to IP specification for Amoxycillin and Potassium Clavulanate oral suspension with respect to pH and the content of Clavulanic Acid in Potassium Clavulanate diluted,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Apr-24,"Drugs Testing Laboratory, Madurai-19",,,,,
9.,Glimepiride Tablets IP 1mg,PGG24-012,,Jul-26,"M/s.Pondchy Pharmaceuticals, R.S.No.218/4, 218/5, Odiampet, Manaveli Road, Villianur Commune, Puducherry, 605110.",Sample does not conform to IP specification for Glimepiride Tablets with respect to Dissolution,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Chennai-06",,,,,
10.,Axid 200 (Sucralfate Oral Suspension),624-470,,May-26,"M/s.Zee Laboratories Ltd, Behind 47, Industrial Area, Paonta Sahib, 173025",Sample does not conform with respect to General requirements for liquid dosage form.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jun-24,"Drugs Testing Laboratory, Chennai-06",,,,,
11.,Fenacin (Diclofenac Diethylammonium + Methyl Salicylate + Menthol Gel),DG2402,,Mar-26,"M/s.Johnson & Smith Co, B- 48, III Stage, Peenya Industrial Estate, Bangalore, 560058",Sample does not conform to Label claim with respect to the content of Methyl Salicylate,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Apr-24,"Drugs Testing Laboratory, Chennai-06",,,,,
12.,Phenytoin Sodium Injection USP-2ml,45PSA138,,Apr-26,"M/s.SPM Drugs (P) Ltd, Bhavani-638301",Sample does not conform to the requirement for assay,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,"King Institute of Preventive Medicine & Research, Guindy, Chennai-32",,,,,
13.,"Manoril-BR Syrup (Terbutaline Sulphate, Bromhexine HCL, Guaiphenesin and Menthol Syrup)",ASL24199,,Sep-26,"M/s.AASSK Pharmaceuticals Pvt. Ltd, S.No.243/2, Plot No.9, Dr.Ambedkar Street, Kozhumanivakkam Village, Mangadu, Chennai-600122",Sample does not conform to Label claim with respect to the content of Bromhexine Hydrochloride,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Oct-24,"Drugs Testing Laboratory, Chennai-06.",,,,,
14.,"Entcof Syrup (Ambroxol Hydrochloride, Guaiphenesin,",MMR-344,,Feb-26,"M/s.Mediguard Remedies, R.S.No.106/1, Perambai",Sample does not conform to Label claim with respect to the,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,"Drugs Testing Laboratory, Chennai-06.",,,,,
,Terbutaline Sulphate Syrup),,,,"Village, Vanur Tk, Villupuram Dt,605110. Tamilnadu, India.",content of Terbutalline Sulphate,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
15.,Nifedipine Sustained Release Tablets IP 10 mg,NF24007,,Jan-26,"M/s.Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110.",Sample does not conform to IP specification for Nifedipine Sustained Release Tablets with respect to the content of Nifedipine,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,"Drugs Testing Laboratory, Madurai-19",,,,,
16.,Albendazole tablets IP 400mg,T24/006A,,Nov-26,"M/s. Samkem, 15-B & 10-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore - 453331(M.P). Madhya Pradesh.",Sample does not meet the Specifications wrt. Dissolution Test as per IP.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
17.,Albendazole tablets IP 400mg,T24/021A,,Nov-26,"M/s. Samkem, 15-B & 10-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore - 453331(M.P). Madhya Pradesh.",The sample does not comply with respect to Dissolution Test as per IP 2022,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
18.,"Norfloxacin Tablets I.P.400mg,",0004,,Jul-26,"M/s.Stride Organics Private Limited, Sy. No. 265/P, Kondapur (Vill.) Ghatkesar, Medchal District. (T.G), Telangana.",The sample does not comply with respect to Dissolution Test as per IP.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-25,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
19.,"Gutwell Suspension, Bacillus clausii 2 billion spores/5ml",PSB-B00225,,Dec-27,"M/s.Prosafe Biologicals LLP Survey No:237/EE/1, Mallepalle (V), Kondapur (M), Sangareddy Dist - 502295, Telangana.",Total viable count found Less than 2 billion spores/5ml.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-25,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
20.,"Bacillus clausii Bakteriya shtammining polireist Suspension, Bacillus clausii Bakteriya shtammining polirezistent 2mlrd. Tirik bakteriyalar/5ml",PSB-B00125,,Dec-26,"M/s. Prosafe Biologicals LLP Survey No:237/EE/1, Mallepalle (V), Kondapur (M), Sangareddy Dist - 502295, Telangana. Mrkt: Humaniqe Biopharmaceuticals, Private Limited, 12-1-16, Plot NO: 49, 402, 4-qavat, Naga chambers, waltair main road, Vishakapatnam - 530002.",Total viable count found Less than 2 billion spores/5ml.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-25,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
21.,Azithromycin Oral Suspension,A004,,Nov-25,"M/s. Smith & Kenner Pharmaceuticals Pvt.Ltd, H.No.2-51, Survey No.72/1, Tatti annaram Village, Hayathnagar Mandal, R.R. Dist. Telangana. India.",The label of the drug should be mentioned as Azithromycin Oral suspension IP. But the letters IP is not m e n t io n e d o n t h e l a b e l .,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-23,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
,,,,,"Mrkt: M/s. Smith & Kenner Pharmaceuticals Pvt.Ltd, H.No.2-51, Survey No.72/1, Tatti annaram Village, Hayathnagar Mandal, R.R. Dist. Telangana. India.",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
22.,"Amoxycillin & Potassium Clavulanate for Oral Suspension,",UPS-245C,,Jun-25,"M/s.Ultra Drugs Pvt.Ltd, Plot NO. 1315-1318, VPO Manpura, Baddi - Nlagarh Road, Dist. Solan, H.P-174 101 Himachal Pradesh. Mrkt: KRV Life Sciences, # 122, Padmanagar, Bhiwandi, Mumbai - 421 303.",The drug product Amoxcycillin and potassium Clavulanate for Oral suspension is o f f i c i a l i n t h e c u r r e n t edition of IP 2022. But the designation in conjiction with the product title Amoxycillin and Potassium Clavulanate for Oral suspension IP is not mentioned on the product Label.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
23.,"Pantoprazole Gastro- Resistant Tablets IP 40 mg,",0431,,Apr-26,"M/s.Stride Organics Pvt Limited, Survey No. 265/P, Kondapur, Ghatkesar, Medchal District, T.S. Telangana.","The drug failed to indicate the common name of the color contained in the drug on t h e label of the product, as required by Rule 127(2) of the Drugs Rules, 1945. It was mentioned on the label as Approved Colours Used.",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Nov-24,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
24.,"Ambroxol Hydrochloride, Terbutaline sulphate, Guaiphenesin & Menthol syrup (TEXORIL-AM Syrups),",MXS-9081,,Oct-25,"M/s. Maxtra Laboratoriestifindustrialpark, Plot No. 105, 105a, 105b, 1st , 2nd, 3rd Floors, Dandumalkapur Vill, Choutuppal Mandal, Tadadri- Bhongir Dist, 508252 Telangana. Mrkt: Trophomed Health Care, House NO.: C-35, Door No: 8-3-222/8/3, Madhura Nagr, S.R. Nagar, Hyderabad - 500038.","The drug failed to indicate the common name of the color contained in the drug on the label of the product, as required by Rule 127(2) of the Drugs R u l e s, 1945. It was mentioned on the label as Approved Colours used.",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Nov-23,"State Lab, Drugs Control Laboratory, Telangana.",,,,,
25.,Zaflox-OZ Tablet,TLT-6938,,Jan-26,"M/s.Taksa Lifescience E-47, Industrial Area , Focal Point Derabassi Distt Mohali Mrk. By : Ryze Lifecare A.O Plot No. 51 , Industrial Area Phase-2 , Chandigarh 160002",1.The sample fails in the Dissolution Test of Ofloxacin IP & Ornidazole IP 2.The sample does not conform to the Assay content of Ofloxacin IP 3.The sample is also found Misbranded as Ofloxacin and Ornidazole Tablets are not been shown official as per I.P 2022,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-24,Modern Drug Testing Laboratory Kathua (J&K),,,,,
26.,Maxirest –LP Tablets,MPT23365,,Feb-26,"M/s.Micro Organics Pharmaceuticals (India)Pvt Ltd , Ogli Suket Road Kala Amb Sirmour (HP) Mrk. By : Bioglare Pharmaceuticals 379A , Plot No. 108 Top Floor Sector 39 West Maloya Chandigarh 160025",The sample fails in the test for Description of tablets,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,Modern Drug Testing Laboratory Kathua (J&K),,,,,
27.,Neo-Chloranton,T-3750,,Nov-25,"M/s.New Gayzel Pharmaceuticals 6/4 Modern Industrial Estate Bahadurgarh - 124507 Mrk. By : Remedies Pharmaceuticals (India) Pvt Ltd 107A &B Aradhana Bhawan Azadpur Commercial Complex , Delhi 110033",The sample fails in the test for Description & Disintegration test of tablets,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-23,Modern Drug Testing Laboratory Kathua (J&K),,,,,
28.,Robiflam-SP,UTGRFB401,,Apr-26,"M/s.Khandelwal Laboratories Pvt Ltd , Plot No. 20 Sec-6 IIE , Sidcul , Pantnagar , US Nagar -263153 Uttarakhand Mrk. By : Khandelwal Laboratories Pvt Ltd ,79/87 , D-Lad Path Mumbai- 400033",The sample fails in the test for Description of tablets,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,Modern Drug Testing Laboratory Kathua (J&K),,,,,
29.,Park 650,AT24/391,,Jul-26,"M/s.Accuwell Medics Pvt Ltd Survey No 414 , Ashwamegh Industrial Estate Changodar Ahmedabad 382213 (Gujarat) Mrk. By : Heal Sure Lifesciences Pvt Ltd Plot No.",The sample fails in the test for Uniformity of Weight of Tablets & Assay content of Paracetamol,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,Modern Drug Testing Laboratory Kathua (J&K),,,,,
,,,,,"198/983, Chachrawadi Vasna Near Claris Lifesciences Ltd Ta Sanand Distt. Ahmedabad Gujarat",,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
30.,Dolomol 650,RBT-2042,,Jun-27,"M/s. Rockbrook Overseas Pvt Ltd , DIC , Industrial Estate Govindsar , Kathua - 184102",The sample fails in the dissolution test of paracetamol,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Oct-24,Modern Drug Testing Laboratory Kathua (J&K),,,,,
31.,Albendazole Tablets IP 400 mg (ALBISTI – 400),PI28AH05,,Dec-25,"M/s.Pure & Cure Healthcare Pvt. Ltd., (A subsidiary of Akums Drugs & Pharmaceuticals Ltd.,), Plot No. 26A, 27-30, Sector-8A, I.I.E., SIDCUL, Ranipur, Haridwar – 249403, Uttarakhand. Mfg. Lic. No. : 31/UA/2013.",The Sample does not conform to standard in respect of the test for “Dissolution”,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-23,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
32.,Amlodipine Besylate Tablets I.P. 2.5 mg (AMLODOSE – 2.5 ),SPT240321,,Jan-26,"M/s.Salus Pharmaceuticals, 480/211, Harraipur, P.O. – Gurumajra, Teh. Baddi, Dist. Solan, Himachal Pradesh – 173205",The Sample does not conform to standard in respect of the test for “Assay & Uniformity of Content”,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
33.,Amoxycillin with Potassium Clavulanate Tablets I.P. (CLAIM – CV 625),CT/24/747,,Mar-26,"M/s.Ciphem Pharma, Plot No.: 30, Subhlakshmi Ind. Estate, Opp. Sanket Ind. Estate, At: Morraya, Ta: Sanand, Dist.: Ahmedabad – 382213. Mfg. Lic. No. : G/28/1738.","The Sample does not conform to standard in respect of the test for “Uniformity of weight, Dissolution & Assay”",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Oct-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
34.,Amoxycillin& Potassium Clavulanate Tablets I.P (AGECLAV – 375 Tablets),JMT-240801A,,Jan-26,"M/s.JMM Formulation Pvt. Ltd., (A WHO GMP & GLP Certified Company), Vill: Khari, Mouza-Ogli, Suketi Road, Kala Amb, Tehsil: Nahan, Dist: Sirmour, Himachal Pradesh – 173030.",The Sample does not conform to Standard Quality in respect of the test for “Dissolution of Amoxycillin”.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Aug-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
35.,Zinc Sulphate Tablets I.P. 20 mg (TONZEE 20),ZS-2404,,Apr-26,"M/s.Torino Laboratories Pvt. Ltd., Fact: Plot No. 65/1, Sector 1, Pithampur – 454775, Dist. Dhar (INDIA).",The Sample does not conform to Standard Quality in respect of the test for “Disintegration”.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
36.,Telmisartan Tablets I.P. 20 mg (TELSAT – 20),ST2T2302,,Feb-26,"M/s.Goodman Pharmaceuticals, Plot No. B3-B8, PIPDIC Electronic Park, Thirubhuvanai, Poducherry – 605107",The Sample does not conform to standard in respect of the test for “Dissolution” performed.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Mar-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
37.,Amoxycillin& Potassium Clavulanate Tablets I.P. 625 mg (TIMOX – CV 625),AXP5F5007,,Dec-26,"M/s.Sucantis Bio Tech Pvt. Ltd., Plot No.: E-127 & 128, Ind. Area Bahadarabad, Haridwar (Uttarakhand) – 249402, Mfg. Lic. No.: 19/UA/SC/P - 2023",The sample does not conform to standard quality in respect of the test for “Dissolution of Amoxycillin”,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jan-25,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
38.,Amoxycillin& Potassium Clavulanate Tablets I.P (AMOXMED – CV 625 Tablets),ABT24071,,Oct-25,"M/s.Alexa Pharmaceuticals, Plot No: 20 Ext HPSIDC, Ind Area, Baddi, Dist. Solan (H.P.) – 173205, Mfg. Lic. No. : L/21/2638/MNB & L/21/2639/MB",The sample does not conform to standard quality in respect of the test for “Dissolution & Assay”.,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,May-24,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
39.,Albendazole Tablets I.P. 400 mg (B-ZOLE 400 mg),T50120A,,Jan-27,"M/s.Samson Laboratories Pvt. Ltd., (WHO-GMP Certified Company), 152, Sansiwala, Barotiwala, Distt. Solan (H.P.) – 174103, Mfg. Lic. No. : MNB/05/156.",The sample does not conform to standard quality in respect of the test for “Dissolution”,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Feb-25,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,
40.,"Methylcobalamin, Alpha Lipoic Acid, Pyridoxine Hydrochloride, Folic Acid, Inositol & Niacinamide Softgel Capsules (S-Neuro Plus)",SD240762,,Sep-25,"M/s. Bajaj Nutraceuticals, 328M, Raipur Industrial Area, Bhagwanpur, Roorkee Distt. Haridwar-247661, (U.K.)","(1) For the received sample Methylcobalamin, Alpha Lipoic Acid, Pyridoxine Hydrochloride, Folic Acid, Inositol & Niacinamide Softgel Capsules (S-NEURO PLUS), Leakage of the soft gelatin capsules was observed which should not be present as per rule 124B of the Drugs Rules,1945 (2) Does not comply with respect to test for Desintegration",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Apr-24,"State lab , Puducherry",,,,,
41.,Telmisartan & Amlodipine TabletsIP (Lanztel-AM),RHT24-402,,Jun-26,"M/s Revantis Healthcare, Plot No. 124, HPSIDC, Industrial Area, Baddi, Distt. Soaln (H.P)-173205",Does not comply with respect to test for Assay,,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Jul-24,"State lab , Puducherry",,,,,
42.,Aceclofenac & Paracetamol Tablets (A- Sid Tablets),HT-2401253,,Nov-26,"M/s.Helax Healthcare Private Limited., Khasra No. 410,Vill- Karondi Roorkee - 247667,Distt- Haridwar (UK)","(1)The sample received is labelled as Aceclofenac & Paracetamol Tablets, however Aceclofenac & Paracetamol Tablets is an official IP monograph",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,Dec-24,"State lab , Puducherry",,,,,
,,,,,,"(Addendum 2024) hence should be labelled as Aceclofenac & Paracetamol Tablets IP. (2)For the received sample, Discolouration was observed. (3) Does not comply with respect to test for Uniformity of weight and Assay for Aceclofenac and Paracetamol.",,NSQ,State Laboratory,STATE NSQ MAY-2025.pdf,,,,,,,,,,,,,,,,,,
